season,batting_team,batter,matches,total_balls,total_runs,dot_balls,ones,twos,threes,fours,sixes,thirty_plus,fifty_plus,hundred_plus,dismissals,Not_outs,batting_average,strike_rate,runs_fours(4s)%,runs_sixes(6s)%,boundary_runs(%),dot_balls(%),Hussey_Index,DPPI,BPI
2023,Sunrisers Hyderabad,AK Markram,13,197,248,60,101,12,1,18,8,3,1,0,11,2,22.55,125.89,29.03,19.35,48.39,30.46,148.44,28.39,52.3
2023,Sunrisers Hyderabad,Abdul Samad,8,128,169,55,47,8,0,10,11,2,0,0,4,4,42.25,132.03,23.67,39.05,62.72,42.97,174.28,55.78,61.0
2023,Sunrisers Hyderabad,Abhishek Sharma,11,157,226,64,58,10,0,28,6,4,2,0,11,0,20.55,143.95,49.56,15.93,65.49,40.76,164.5,29.58,60.69
2023,Sunrisers Hyderabad,H Klaasen,11,253,448,58,124,23,0,32,25,7,2,1,9,2,49.78,177.08,28.57,33.48,62.05,22.92,226.86,88.15,76.04
2023,Sunrisers Hyderabad,HC Brook,11,154,190,70,50,12,0,23,4,1,0,1,9,2,21.11,123.38,48.42,12.63,61.05,45.45,144.49,26.05,53.7
2023,Sunrisers Hyderabad,MA Agarwal,10,210,270,79,93,11,1,29,6,3,1,0,10,0,27.0,128.57,42.96,13.33,56.3,37.62,155.57,34.71,55.38
2023,Sunrisers Hyderabad,RA Tripathi,13,213,273,91,78,8,1,29,10,3,1,0,12,1,22.75,128.17,42.49,21.98,64.47,42.72,150.92,29.16,56.14
2024,Chennai Super Kings,AM Rahane,12,196,242,80,76,11,2,24,7,4,0,0,12,0,20.17,123.47,39.67,17.36,57.02,40.82,143.64,24.9,52.48
2024,Chennai Super Kings,DJ Mitchell,13,223,318,64,105,21,1,27,10,4,2,0,11,2,28.91,142.6,33.96,18.87,52.83,28.7,171.51,41.23,59.63
2024,Chennai Super Kings,MS Dhoni,11,73,161,31,21,3,0,14,13,1,0,0,3,8,53.67,220.55,34.78,48.45,83.23,42.47,274.22,118.37,94.35
2024,Chennai Super Kings,R Ravindra,10,138,222,56,50,6,0,22,12,3,1,0,10,0,22.2,160.87,39.64,32.43,72.07,40.58,183.07,35.71,67.26
2024,Chennai Super Kings,RA Jadeja,11,187,267,51,90,19,1,22,8,4,1,0,6,5,44.5,142.78,32.96,17.98,50.94,27.27,187.28,63.54,62.57
2024,Chennai Super Kings,RD Gaikwad,14,413,583,140,175,34,0,58,18,8,4,1,11,3,53.0,141.16,39.79,18.52,58.32,33.9,194.16,74.81,65.56
2024,Chennai Super Kings,S Dube,14,244,396,100,91,11,1,28,28,6,3,0,11,3,36.0,162.3,28.28,42.42,70.71,40.98,198.3,58.43,70.78
2024,Delhi Capitals,AR Patel,12,179,235,66,77,11,0,19,10,2,2,0,8,4,29.38,131.28,32.34,25.53,57.87,36.87,160.66,38.57,57.53
2024,Delhi Capitals,Abishek Porel,12,205,327,78,71,13,1,36,13,6,2,0,10,2,32.7,159.51,44.04,23.85,67.89,38.05,192.20999999999998,52.16,68.47
2024,Delhi Capitals,DA Warner,8,125,168,66,34,3,0,17,10,2,1,0,8,0,21.0,134.4,40.48,35.71,76.19,52.8,155.4,28.22,59.91
2024,Delhi Capitals,J Fraser-McGurk,9,141,330,61,25,3,1,32,28,4,4,0,9,0,36.67,234.04,38.79,50.91,89.7,43.26,270.71,85.82,96.09
2024,Delhi Capitals,PP Shaw,8,121,198,47,38,5,0,30,5,3,1,0,8,0,24.75,163.64,60.61,15.15,75.76,38.84,188.39,40.5,69.34
2024,Delhi Capitals,RR Pant,13,287,446,99,120,16,0,36,25,6,3,0,11,2,40.55,155.4,32.29,33.63,65.92,34.49,195.95,63.01,68.56
2024,Delhi Capitals,SD Hope,9,122,183,48,43,10,0,12,12,3,0,0,8,1,22.88,150.0,26.23,39.34,65.57,39.34,172.88,34.32,62.79
2024,Delhi Capitals,T Stubbs,13,198,378,48,88,16,2,24,26,6,3,0,7,6,54.0,190.91,25.4,41.27,66.67,24.24,244.91,103.09,82.46
2024,Gujarat Titans,B Sai Sudharsan,12,373,527,121,171,31,0,48,17,10,2,1,11,1,47.91,141.29,36.43,19.35,55.79,32.44,189.2,67.69,63.58
2024,Gujarat Titans,DA Miller,9,139,210,51,58,12,0,20,8,3,1,0,6,3,35.0,151.08,38.1,22.86,60.95,36.69,186.08,52.88,64.96
2024,Gujarat Titans,M Shahrukh Khan,7,75,127,25,31,3,0,9,9,2,1,0,7,0,18.14,169.33,28.35,42.52,70.87,33.33,187.47000000000003,30.72,68.75
